scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:17.241,17.24,50,"The whole of Juniper Flat laughed the day Susannah Truett agreed to marry the blind man. They laughed in the mercantile and they laughed on the church steps and they laughed, some of them, right to her face because Susannah Truett was thirty-one years old, plain as a fence rail,",
2,0:00:17.241,0:00:28.621,11.38,33,"a spinster the town had long ago set on the shelf and forgotten, and Ephraim Vickery was a blind rancher who lived alone on a hardscrabble spread at the end of the valley,",
3,0:00:28.621,0:00:38.621,10.0,29,"and the whole town agreed it was the most pitiful match anybody had ever heard of. Two leftovers, they said. The plain old maid and the sightless recluse. Well.",
4,0:00:38.621,0:00:51.724,13.1,38,"At least they'd have each other's company in their misery. Rowena Amory, the prettiest woman in Juniper Flat, laughed loudest of all. ""She'll wed the blind man,"" she said, fanning herself on the boardwalk, loud enough to carry.",
5,0:00:51.724,0:01:05.172,13.45,39,"""Because no man who could actually see her ever would."" What every soul in Juniper Flat missed — because they were too busy laughing to look — was the one thing Susannah Truett had already seen and they hadn't.",
6,0:01:05.172,0:01:27.586,22.41,65,"And what she'd seen was going to make every laughing mouth in that town go dry inside the year. Stay a while by our fire tonight. Because this is the story of the plainest woman in the valley, the blind man they all pitied, and the winter Juniper Flat learned that the two people they'd laughed at were the only two who'd been paying attention.",
7,0:01:27.586,0:01:41.724,14.14,41,"Susannah Truett had been alone a long time, and she had made her peace with it, mostly. She'd come to Juniper Flat as a girl and grown up plain in a town that valued a woman's face above nearly everything else,",
8,0:01:41.724,0:01:56.552,14.83,43,"and by the time she was thirty-one she had watched every girl she'd grown up with marry and fill their houses with children while she kept house for her aging father and then, when he passed, kept house for no one at all.",
9,0:01:56.552,0:02:12.414,15.86,46,"She took in sewing. She grew a good garden. She sat alone in her pew on Sundays, and she did not let the town see how much the loneliness weighed, because Susannah Truett had her pride, and it was about the only thing she had left.",
10,0:02:12.414,0:02:27.586,15.17,44,"She was not bitter, though. That was the thing about her. The years that would have soured a lesser woman had left Susannah kind, in a quiet, watchful, undemanding way, and it was that kindness that first carried her out to the Vickery place.",
11,0:02:27.586,0:02:38.966,11.38,33,"Ephraim Vickery had gone blind three years back, from a fever, in the prime of his life, and the town had quietly written him off the same way it had written off Susannah.",
12,0:02:38.966,0:02:53.793,14.83,43,"He kept to his ranch at the end of the valley, tended by a single loyal old foreman named Emmett, and he came into Juniper Flat so rarely that most folks had half forgotten him a sad story, a man in the dark,",
13,0:02:53.793,0:03:11.379,17.59,51,"nothing to be done. Susannah started riding out to read to him. It began simply. She'd heard the blind rancher had no one to read him his letters or the Scripture or the news, and it seemed to her a cruel thing, a man who'd loved books left alone in silence,",
14,0:03:11.379,0:03:27.931,16.55,48,so she took to driving her little cart out to the Vickery place of an afternoon and reading to him. She asked nothing for it. She just could not stand to think of a mind going hungry in the dark when she had a voice to feed it.,
15,0:03:27.931,0:03:51.034,23.1,67,"And in those long afternoons of reading, something happened that the whole town of Juniper Flat, for all its laughing, never once suspected. Ephraim Vickery, who could not see Susannah Truett's plain face, came to know the rest of her her quick warm mind, her dry wit, the goodness in her that had never once been rewarded and he fell in love with her the way, perhaps,",
16,0:03:51.034,0:04:09.310,18.28,53,"only a blind man truly can. Not with a face. With a soul. And Susannah, who had spent thirty-one years being seen and found wanting, fell in love with the one man who could not see her at all, and who found her, for the first time in her life, more than enough.",
17,0:04:09.310,0:04:21.034,11.72,34,"Now, about that thing Susannah had seen that the town had missed. Juniper Flat believed Ephraim Vickery was a poor man. A blind recluse on a hardscrabble spread — of course he was poor.",
18,0:04:21.034,0:04:31.379,10.34,30,"And Ephraim did nothing to correct them, because Ephraim had learned, in his three years of darkness, exactly how people treated a blind man they believed had nothing worth taking.",
19,0:04:31.379,0:04:41.379,10.0,29,"They left him be. And being left be, when you cannot see who's coming, is its own kind of safety. But the Vickery spread was not hardscrabble. Not underneath.",
20,0:04:41.379,0:04:56.207,14.83,43,"Ephraim's father had bought that land cheap decades back, and it sat, though almost no one knew it, squarely atop the best water and the richest graze in the whole valley and quietly, through Emmett and through agents in a city far off,",
21,0:04:56.207,0:05:06.207,10.0,29,"Ephraim Vickery ran one of the largest and most prosperous cattle operations in the territory. He was, in plain fact, one of the wealthiest men for two hundred miles.",
22,0:05:06.207,0:05:24.138,17.93,52,"He simply took great care that Juniper Flat never knew it. Susannah found out by accident, reading him his correspondence. She read him a letter one afternoon — a banker's letter, full of figures that made her voice falter — and she went very quiet, and Ephraim said, gently, ""Now you know.",
23,0:05:24.138,0:05:35.862,11.72,34,"I'd ask you to keep it. It's the darkness's one gift, being underestimated. I'd not give it up lightly."" And here is the measure of Susannah Truett, and the reason this story is hers.",
24,0:05:35.862,0:05:54.483,18.62,54,"She kept his secret. She kept it for months. She went on driving out to read to him and falling in love with him, and never once, not for a single afternoon, did the knowledge of his fortune change how she treated him because she had started loving him when she believed him poor,",
25,0:05:54.483,0:06:04.483,10.0,29,and she would be damned before she let a banker's letter make her into one of the grasping people the poor blind man had spent three years hiding from.,
26,0:06:04.483,0:06:16.207,11.72,34,"When Ephraim asked her to marry him, he said it plainly: ""You're the only person who came to me in the dark for no reason but kindness. I know what the town will say.",
27,0:06:16.207,0:06:34.828,18.62,54,"They'll say you married a blind man because no one else would have you, and they'll never know the truth, because I'll not have them knowing. So you'll marry me and be laughed at, and you'll have to bear it, and only you and I will ever know why they've got it exactly backwards.",
28,0:06:34.828,0:06:46.207,11.38,33,"Can you carry that, Susannah?"" And Susannah Truett, who had carried worse for less, said yes. So they were married, quietly, and Juniper Flat had itself a season of laughter at their expense.",
29,0:06:46.207,0:07:03.103,16.9,49,"Susannah bore it the way she'd told Ephraim she would. She heard the whispers in the mercantile and she saw the pitying, mocking looks, and she held her head up and said nothing, because she and her husband had a secret worth more than the whole town's good opinion,",
30,0:07:03.103,0:07:26.897,23.79,69,"and there is a peculiar strength in being underestimated by people you have decided to stop needing. Rowena Amory was the worst of them. Rowena had never in her life wanted for a man's attention, and something about the plain spinster having gone and gotten herself a husband — even a blind one — nettled her past bearing, and she made a little sport of Susannah all that winter.",
31,0:07:26.897,0:07:39.310,12.41,36,"""How's married life at the poorhouse?"" she'd ask sweetly on the boardwalk. ""Does he even know how plain you are? I suppose that's a mercy, for you."" Susannah just smiled and went on about her errands.",
32,0:07:39.310,0:07:49.655,10.34,30,Which infuriated Rowena more than any answer could have. But there was one person laughing who was not laughing out of mere cruelty. There was one who had a reason.,
33,0:07:49.655,0:08:07.241,17.59,51,"Ephraim Vickery had a nephew. His name was Warren, his dead brother's boy, and Warren Vickery was a smiling, empty, grasping young man who had spent years quietly waiting for his blind uncle to die so that the ranch which Warren, like the town, believed to be a modest hardscrabble thing,",
34,0:08:07.241,0:08:18.276,11.03,32,"but his by rights as the only kin would fall to him. Warren had troubled himself to be pleasant to Ephraim for exactly that reason, and Warren had always assumed he'd inherit.",
35,0:08:18.276,0:08:33.103,14.83,43,"And now his uncle had gone and married. A wife. A wife who would come before a nephew in any will. And Warren Vickery, watching the plain woman move into the ranch he'd been counting on, began to think dark and busy thoughts.",
36,0:08:33.103,0:08:43.103,10.0,29,"Because Warren Vickery knew a thing the rest of the town didn't. Warren, being family, had caught a glimpse over the years of what the Vickery spread truly was.",
37,0:08:43.103,0:08:59.1000,16.9,49,"Warren knew there was a fortune under that hardscrabble. And Warren was not about to let a plain old maid read her way into it. Warren came to the ranch that spring wearing his warmest smile, and he began, carefully, to try to break the marriage from the inside.",
38,0:08:59.1000,0:09:12.759,12.76,37,"He couldn't attack Susannah's character; she hadn't any faults to work with. So he went at the one seam he thought he could split — Ephraim's blindness, and a blind man's fear of being made a fool.",
39,0:09:12.759,0:09:26.207,13.45,39,"Warren took to dropping poison in his uncle's ear, gentle as you please. ""She's a good woman, Uncle, I'm sure. It's only... folks do say she knew about the money before she ever came out to read to you.",
40,0:09:26.207,0:09:39.310,13.1,38,"That she'd found it out somehow. I'd hate to think it, but... a plain woman, thirty-one, no prospects, and then she just happens to take up reading to the one blind man in the valley who's secretly rich?",
41,0:09:39.310,0:09:57.931,18.62,54,"I only say it because I love you, Uncle. I'd not see you played for a fool in the dark."" And it was cruel, and it was clever, because it took the one true thing — that Susannah had learned of the fortune — and twisted it into a lie about when and why.",
42,0:09:57.931,0:10:08.966,11.03,32,"And a blind man, who cannot watch a face to know if it's honest, is more vulnerable than most to a doubt whispered patiently enough. For a few terrible weeks, it worked.",
43,0:10:08.966,0:10:21.034,12.07,35,"Ephraim grew quiet, and cool, and Susannah felt him pulling away and could not understand why, and the old loneliness she thought she'd left behind came creeping back into the ranch house like a draft.",
44,0:10:21.034,0:10:31.379,10.34,30,"She did not know about Warren's whispers. She only knew that the one man who had ever seen her whole seemed, somehow, to be losing sight of her after all.",
45,0:10:31.379,0:10:47.241,15.86,46,"It came to a head on a night that Warren, growing bolder and greedier, decided not to wait on whispers any longer. Because whispers might break the marriage in a year, or two, and Warren Vickery had run up debts that would not wait a year.",
46,0:10:47.241,0:11:00.690,13.45,39,"He needed the ranch now. And a blind man alone on a spread, Warren reasoned, could come to a sad accident as easy as anyone. Easier. Warren came in the night, when he believed Susannah had driven into town.",
47,0:11:00.690,0:11:21.034,20.34,59,"He'd figured it carefully. Emmett the foreman was away at the far camp. Ephraim would be alone, and blind, and a blind man who fell down his own cellar stairs in the dark was a tragedy no one would question the town already pitied the poor sightless recluse; they'd only shake their heads and say it was a mercy,",
48,0:11:21.034,0:11:35.517,14.48,42,"and Warren would inherit at last. What Warren did not know was that Susannah had come home early. She was in the back of the house when she heard her husband's voice, low and wary, from the front room — ""Who's there?",
49,0:11:35.517,0:11:50.345,14.83,43,"Warren? What are you doing here this hour?"" — and she heard something in Ephraim's voice she had never heard before, which was fear, and Susannah Truett moved through that dark house quiet as she'd learned to move through her whole quiet life.",
50,0:11:50.345,0:12:07.931,17.59,51,"Here is where thirty-one years of being invisible became the thing that saved a life. Susannah knew that house in the dark better than Warren did, because Susannah had learned it the way Ephraim had — by touch, by memory, guiding a blind man through his own rooms for a year.",
51,0:12:07.931,0:12:18.966,11.03,32,"She did not need a lamp. Warren did. And so she came upon Warren Vickery in the black hallway, with his hand already on her husband's arm and murder in his voice,",
