scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:16.373,16.37,47,"Verna Larkin could not scream. She wanted to. God knows she wanted to, crouched there in the dark behind the rain barrel with both hands pressed over her own mouth, because thirty feet away, in the yellow spill of lantern light through old Hattie Bramble's kitchen window,",
2,0:00:16.373,0:00:38.669,22.3,64,"she had just watched a man close his hands around the old woman's throat. But Verna Larkin had not spoken a single word in eleven years. The fever that took her voice when she was eight had left her that way, silent as snow, and the whole town of Elk Bend had long ago decided that a girl who couldn't talk couldn't think either.",
3,0:00:38.669,0:00:53.300,14.63,42,"Simple, they called her. Touched. The mute girl who did the washing. So she could not scream. She could not cry out, could not call for help, could not do the one thing every fiber of her body was howling to do.",
4,0:00:53.300,0:01:10.370,17.07,49,"She could only watch. And the man in that window the respected man, the man the whole town would have sworn on the Bible was as fine a gentleman as ever rode into Elk Bend finished what he was doing, and let old Hattie slide down out of sight,",
5,0:01:10.370,0:01:32.317,21.95,63,"and then he straightened up, and he turned toward the window. And he saw her. Their eyes met through the glass and the dark. And in that instant Jasper Hargrove understood two things at once — that the mute laundry girl had seen him kill Hattie Bramble, and that the mute laundry girl could never, ever tell a living soul what she'd seen.",
6,0:01:32.317,0:01:50.084,17.77,51,"Or so he believed. Stay with me by the fire tonight. Because this is the story of a girl the whole world had written off as silent and simple, a killer who thought that made her harmless, and the schoolteacher who handed her the one weapon nobody knew she could use.",
7,0:01:50.084,0:02:03.670,13.59,39,"Some voices, friend, don't come out of the mouth. To understand what happened in Elk Bend that autumn, you have to understand how the town saw Verna Larkin. Which is to say, mostly, they didn't see her at all.",
8,0:02:03.670,0:02:18.998,15.33,44,"She was nineteen, thin, with quick dark eyes and rough red hands from the washing, and she lived in a lean-to behind the laundry where she worked from before light to after dark, boiling other people's shirts and sheets in a great iron kettle.",
9,0:02:18.998,0:02:35.023,16.02,46,"Her folks were long dead. She had no one. And because she made no sound, the town treated her like a piece of furniture that happened to move around, discussing her freely while she stood right there, the way you'd talk in front of a dog.",
10,0:02:35.023,0:02:47.215,12.19,35,"""Simple as a fence post,"" they'd say, not unkindly, most of them. ""Can't talk, can't hardly think. Pity."" Here is what none of them knew. Verna Larkin could think circles around the lot of them.",
11,0:02:47.215,0:03:01.847,14.63,42,"Silence had made her a watcher, and eleven years of being invisible had made her a watcher of a very particular kind — she noticed everything, because people who believe you cannot understand them do not bother to hide anything from you.",
12,0:03:01.847,0:03:17.175,15.33,44,"She knew who was cheating whom at cards. She knew which married man walked out to which widow's place after dark. She knew the town of Elk Bend down to its rotten floorboards, and the town had no idea she knew anything at all.",
13,0:03:17.175,0:03:28.671,11.5,33,That gift for watching was about to become the most dangerous thing she owned. The one person in Elk Bend who ever treated Verna as a whole human being was old Hattie Bramble.,
14,0:03:28.671,0:03:40.515,11.84,34,"Hattie was a widow, near seventy, sharp-tongued and soft-hearted, who lived alone at the edge of town in a tidy little house with a good well and a better piece of land under it.",
15,0:03:40.515,0:03:55.147,14.63,42,"She'd taken a shine to the silent girl years back, and she was the only soul who ever sat Verna down at a real table and fed her and talked to her like she expected an answer, even knowing none would come.",
16,0:03:55.147,0:04:09.778,14.63,42,"Hattie had figured out early what the rest of the town never bothered to — that the girl understood every word. ""You've got more sense in your quiet than this whole town's got in its noise,"" Hattie told her once, buttering bread.",
17,0:04:09.778,0:04:27.196,17.42,50,"""Don't you let them make you small, Verna. You hear? A day's coming you'll need every bit of what's in that head of yours."" Hattie Bramble had no idea how right she was, nor how soon that day would come, nor that she herself would not live to see it.",
18,0:04:27.196,0:04:47.750,20.55,59,"Because Hattie had something people wanted. That good land, that sure well — in a dry country, water is money, and Hattie's well never failed. And there was a man in Elk Bend who had been quietly buying up every parcel around hers, a man who needed Hattie's water to make all the rest of it worth a fortune,",
19,0:04:47.750,0:04:58.898,11.15,32,and who had grown very tired of the old woman's flat refusal to sell. That man was Jasper Hargrove. You would have liked Jasper Hargrove. That was the terrible thing about him.,
20,0:04:58.898,0:05:10.742,11.84,34,"Everyone did. He was handsome in an easy, weathered way, quick with a joke and quicker with a favor, the kind of man who remembered your children's names and asked after your sick mother.",
21,0:05:10.742,0:05:24.677,13.93,40,"He'd come to Elk Bend six years back with a little money and a lot of charm, and he'd built himself up into one of the most respected men in the county a church deacon, a friend to the sheriff,",
22,0:05:24.677,0:05:38.960,14.28,41,"a man folks trusted with their business and their secrets. And under all of it, Jasper Hargrove was a snake. A patient, smiling, cold-blooded snake who had decided that Hattie Bramble's water was going to be his, one way or another.",
23,0:05:38.960,0:05:56.378,17.42,50,"He'd tried buying it. He'd tried charming it out of her. He'd tried, near the end, threatening it, quiet enough that the old woman couldn't prove a word. And Hattie, stubborn as a winter, had told him to his smiling face to get off her porch and stay off it.",
24,0:05:56.378,0:06:14.145,17.77,51,"So on a cold night in October, Jasper Hargrove rode out to Hattie Bramble's tidy little house to settle the matter for good. He did not know that the mute laundry girl was there too, come after dark with a basket of Hattie's clean washing, the way she did every week.",
25,0:06:14.145,0:06:25.989,11.84,34,He did not know she was crossing the dark yard toward the kitchen door at the exact moment he closed his hands around the old woman's throat. He found out when he turned around.,
26,0:06:25.989,0:06:38.879,12.89,37,"And now here they were, the two of them, frozen in the dark on either side of a lantern-lit window — the killer and the one witness in all the world who could not say his name.",
27,0:06:38.879,0:06:52.813,13.93,40,"Jasper moved fast. He came out that kitchen door and around the house, and Verna ran — dropped the basket and ran, her lungs burning with the scream she couldn't make, out across the black field toward the town lights.",
28,0:06:52.813,0:07:05.703,12.89,37,"She was young and quick and she knew the dark, and she made it to the edge of Elk Bend with Jasper's boots pounding behind her, and she did the only thing she could think to do.",
29,0:07:05.703,0:07:21.031,15.33,44,"She ran straight to the sheriff's office and pounded on the door. And that, as it turned out, was where the real nightmare began. Because how do you tell a sheriff that a man has been murdered, when you cannot say a single word?",
30,0:07:21.031,0:07:33.224,12.19,35,"Sheriff Fenn was not a bad man. He was a tired man, a slow man, a man who liked things simple, and what came pounding on his door that night was the opposite of simple.",
31,0:07:33.224,0:07:44.023,10.8,31,"The mute laundry girl, wild-eyed and gasping, grabbing his sleeve, pointing frantically into the dark, making desperate urgent sounds that were not words. He couldn't make heads or tails of it.",
32,0:07:44.023,0:07:56.912,12.89,37,"And before he'd even got his boots on, who should come strolling up out of the night, calm as Sunday, but Jasper Hargrove himself. ""Evening, Sheriff."" Jasper tipped his hat, breathing easy, every inch the concerned citizen.",
33,0:07:56.912,0:08:16.073,19.16,55,"""I was riding by and saw the Larkin girl tearing through town like the devil was after her. She all right? Poor thing gets these spells, I hear. Can't tell what's real and what ain't."" And just like that, in one smooth sentence, Jasper Hargrove began to build the wall that would bury the truth.",
34,0:08:16.073,0:08:30.704,14.63,42,"Because it worked. Of course it worked. Sheriff Fenn looked at the frantic, wordless, gesturing girl that everyone in town called simple, and he looked at calm, respectable, trustworthy Jasper Hargrove, and he did what anyone in Elk Bend would have done.",
35,0:08:30.704,0:08:46.380,15.68,45,"He believed the man who could talk. They found Hattie the next morning. And Jasper had done his work well — he'd gone back and made it look like a fall, the old woman crumpled at the bottom of her cellar stairs, her neck broken.",
36,0:08:46.380,0:09:05.540,19.16,55,"A tragedy. An accident. Old women fall. Verna went nearly mad. She stood in Hattie's yard while they carried the body out, and she pointed at the cellar and shook her head and pointed toward Jasper's land and pressed her hands to her own throat, choking, trying with her whole body to say murder, murder,",
37,0:09:05.540,0:09:16.688,11.15,32,"he strangled her, and every soul in that yard looked at the poor mute girl having one of her spells and felt sorry for her and paid her not the slightest mind.",
38,0:09:16.688,0:09:32.365,15.68,45,"Jasper Hargrove stood at the graveside two days later with his hat over his heart, and when the service was done, he walked over to Verna Larkin, and in front of the whole town he laid a kind hand on her shoulder, and he said,",
39,0:09:32.365,0:09:45.951,13.59,39,"gentle as a lamb, ""Such a loss. She was good to you, I know."" And then he leaned down, close to her ear, too low for anyone else to hear, and he murmured: ""Nobody's ever going to believe you.",
40,0:09:45.951,0:09:58.144,12.19,35,"You know that, don't you? Not one word. Because you haven't got any words. You never will."" And he smiled at her, and touched his hat to the crowd, and walked away a free man.",
41,0:09:58.144,0:10:09.640,11.5,33,"Verna Larkin might have carried that horror to her own grave, silent and helpless, if not for a stranger who'd come to Elk Bend that same fall to take over the little schoolhouse.",
42,0:10:09.640,0:10:25.665,16.02,46,"His name was Owen Prescott, and he was not from the West. He was a slight, bookish young man from back East with ink-stained fingers and mild eyes behind his spectacles, and the town had already half decided he was too soft to last a winter.",
