scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:21.337,21.34,61,"For six months, no one in Winter Ridge had seen the face of the widow who wore the veil. She had come to town in the spring, a woman all in mourning black with a heavy dark veil drawn down over her face, and she had taken the small room above the milliner's and kept to herself, and she never once,",
2,0:00:21.337,0:00:37.777,16.44,47,"in all those months, lifted that veil in front of a living soul. She went veiled to the mercantile. She went veiled to the well. She sat in the back pew of the church every Sunday, veiled, silent, and she left before anyone could speak to her.",
3,0:00:37.777,0:00:50.719,12.94,37,"And the town of Winter Ridge, which could not abide a mystery it hadn't been let in on, decided it hated her. They made up stories. She was hiding a hideous face, they said, scarred or diseased.",
4,0:00:50.719,0:01:08.558,17.84,51,"She was a fugitive. She was too proud to show herself to common folk. Millicent Prewitt, who ran the church social committee and the town's opinion of itself with the same iron hand, declared the veiled widow an affront to decent Christian openness, and set about, in her sweet poisonous way,",
5,0:01:08.558,0:01:24.998,16.44,47,making the strange woman feel every ounce of the town's suspicion. What Millicent Prewitt did not know — what not one mocking soul in Winter Ridge knew — was that half of them owed the roof over their heads to the very woman they were whispering about.,
6,0:01:24.998,0:01:35.842,10.84,31,"And the Sunday that veil finally came up, this whole town was going to have to live with what it had done under it. Stay a while by our fire tonight.",
7,0:01:35.842,0:01:48.084,12.24,35,"This is the story of the woman behind the veil, the town that tormented what it could not see, and the morning Winter Ridge learned exactly who had been watching it from behind the black.",
8,0:01:48.084,0:02:03.475,15.39,44,"Her name, the little she gave of it, was Estelle Ransome, and the town knew nothing else about her, and that was precisely how Estelle wanted it. Here is what was behind the veil, though Winter Ridge would be the last to learn it.",
9,0:02:03.475,0:02:28.659,25.18,72,"Estelle Ransome was not hiding a scarred or hideous face. She was hiding grief, and she was hiding money, and she had good reason to hide both. She had been, a year before, the wife of a wealthy man in a city far to the east a good man, a railroad man, who had loved her well and died sudden and left her, their only child already lost to fever years before,",
10,0:02:28.659,0:02:47.898,19.24,55,"alone with a very great fortune and a very great grief. And Estelle had discovered, in her widowhood, the thing that so many suddenly-rich and suddenly-alone women discover: that a wealthy widow is not a person to the world but a prize, circled by suitors who wanted her money and relations who wanted it more,",
11,0:02:47.898,0:03:11.683,23.79,68,"none of whom could see past the fortune to the broken-hearted woman underneath. So Estelle Ransome had done a strange and desperate thing. She had taken a portion of her fortune, and she had left that city and every grasping soul in it, and she had come west to a town where no one knew her name, and she had put on a veil to grieve in peace,",
12,0:03:11.683,0:03:30.572,18.89,54,"to be no one, to be for a little while just a shape in black that the world would leave alone. She had not counted on Winter Ridge. She had not counted on a town so small and so bored that a woman minding her own sorrow became the chief entertainment of the season.",
13,0:03:30.572,0:03:47.711,17.14,49,"And she had not counted on Millicent Prewitt. But something happened in those first months that Estelle had not planned on either, and it changed everything. Grieving behind her veil, invisible, ignored, Estelle Ransome began, for the first time in her sheltered wealthy life, to truly see poor people.",
14,0:03:47.711,0:04:02.053,14.34,41,"Because they could not see her, they did not perform for her, and so she saw them plain saw the young mother counting coins she didn't have at the mercantile, saw the family whose note was being called at the bank,",
15,0:04:02.053,0:04:18.493,16.44,47,"saw the hunger and the fear that the comfortable of Winter Ridge walked past every day without a glance. And the veiled widow, who had all the money in the world and nothing left to spend it on but grief, quietly began to do something about it.",
16,0:04:18.493,0:04:31.085,12.59,36,"It started with Ada Renfro. Ada was a young mother, barely twenty, widowed like Estelle but poor as dirt, with a sick baby and a note at the bank she had no earthly way to pay,",
17,0:04:31.085,0:04:49.624,18.54,53,"about to lose the little house that was all she had left of her dead husband. Estelle had watched her from behind the veil at the mercantile, watched her count and recount her few coins and put the medicine back on the shelf because she couldn't afford both the medicine and the flour,",
18,0:04:49.624,0:05:02.216,12.59,36,"and something in Estelle Ransome's frozen grieving heart had cracked open. She went to the banker. A careful man named Hollis, the one soul in Winter Ridge she took into her confidence, because she had to.",
19,0:05:02.216,0:05:14.808,12.59,36,"And quietly, anonymously, Estelle Ransome paid off Ada Renfro's note, and left an envelope of money where the young mother would find it, and told Hollis to breathe not one word of where it came from.",
20,0:05:14.808,0:05:32.647,17.84,51,"And then she did it again. And again. All through that summer and fall, an anonymous benefactor moved through Winter Ridge like a ghost — notes mysteriously paid, envelopes left on doorsteps, a doctor's bill quietly settled, a widow's winter wood delivered by a driver who wouldn't say who'd sent him.",
21,0:05:32.647,0:05:43.141,10.49,30,The town buzzed with it. Who was the secret angel of Winter Ridge? They guessed at every prosperous man in town. They guessed at the church. They guessed at everyone.,
22,0:05:43.141,0:05:57.132,13.99,40,They never once guessed the veiled widow they were busy despising. Because it did not occur to a single soul in Winter Ridge that the strange proud woman they'd all decided to hate could be anything but what they'd imagined.,
23,0:05:57.132,0:06:13.572,16.44,47,"People rarely look for goodness in the face they've already chosen to sneer at. And no one sneered harder than Millicent Prewitt who, in one of the small bitter ironies this story turns on, was among those quietly wondering how to get close to the mysterious benefactor,",
24,0:06:13.572,0:06:25.815,12.24,35,"even as she led the town's cruelty against the very woman who was that benefactor. Millicent Prewitt was a pillar of the Winter Ridge church, and a tyrant of the smallest and most respectable kind.",
25,0:06:25.815,0:06:37.358,11.54,33,"She had decided the veiled widow was a stain on the town, and she pursued that judgment with all the terrible energy of a bored woman who mistakes her own malice for principle.",
26,0:06:37.358,0:06:53.798,16.44,47,"She organized the cold shoulders. She made sure Estelle was never invited, never included, always just slightly and deniably shunned. She spoke, in her committee meetings, of the importance of a woman showing her honest face to her neighbors, and let everyone understand exactly who she meant.",
