scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:23.759,23.76,70,"Clara Winslow was nineteen years old the winter they made her eat in the barn. Not once. Not as a punishment. Every single night. While the Sennett family sat down to hot beef and gravy in a warm bright kitchen, the hired girl carried her tin plate out across the frozen yard, pushed open the heavy barn door, and ate her cold supper alone in the dark with the horses.",
2,0:00:23.759,0:00:46.160,22.4,66,"The town of Cottonwood knew about it. The whole town knew. And most of them thought it was funny. What none of them knew not the Sennetts, not the town, not Clara herself was that a dying old woman on the far side of the valley had already written Clara's name into a piece of paper that was going to turn every one of them white.",
3,0:00:46.160,0:01:00.416,14.26,42,Stay with me by the fire tonight. Because this is the story of a girl who ate in the dark for two years without one word of complaint — and the morning the whole town found out exactly who had been watching.,
4,0:01:00.416,0:01:16.368,15.95,47,"They found Clara Winslow when she was seventeen, sitting on the church steps in Cottonwood with everything she owned tied in a flour sack. Her folks had come west on the Kansas road and never made it past the fever that took half the wagons that summer.",
5,0:01:16.368,0:01:28.926,12.56,37,"She buried her mother in October and her father before the first snow, and by the time the ground froze she was a girl with no name that mattered to anyone and no roof over her head.",
6,0:01:28.926,0:01:43.182,14.26,42,"Rufus Sennett took her in. That's the word he used at church, standing in his good coat with his thumbs in his vest. Took her in. Folks nodded and said what a Christian thing it was, and Rufus let them say it.",
7,0:01:43.182,0:01:56.419,13.24,39,"What Rufus Sennett actually did was find himself a girl who would scrub, haul, cook, mend, and rise before the sun for the price of a straw tick in the loft and whatever was left on the family's plates.",
8,0:01:56.419,0:02:07.959,11.54,34,He did not have to pay her. He did not have to be kind to her. And a man like Rufus never spent a coin nor a kind word he wasn't forced to spend.,
9,0:02:07.959,0:02:22.893,14.93,44,"But it was not Rufus who made Clara eat in the barn. It was his wife. Louisa Sennett was a handsome woman with a cold, careful face, and she had spent fifteen years climbing to the top of what passed for society in Cottonwood.",
10,0:02:22.893,0:02:36.130,13.24,39,"She sat in the front pew. She hosted the church socials. She had opinions about who was decent and who was not, and she spoke those opinions in a soft, pleasant voice that somehow cut worse than a shout.",
11,0:02:36.130,0:02:46.991,10.86,32,"And Louisa had decided, from the first day, that Clara Winslow was beneath her table. ""She's help, Rufus,"" Louisa said, the night the girl first reached to sit down with the family.",
12,0:02:46.991,0:02:57.853,10.86,32,"""Help doesn't eat with the family. It isn't done."" And she said it in that soft voice, smiling, as if she were doing Clara a kindness by teaching her where she belonged.",
13,0:02:57.853,0:03:20.254,22.4,66,"So Clara took her plate to the barn. The first night she cried into the horse's mane, quiet, so no one would hear. The second night she didn't. By the end of that first week she had learned the trick of it — how to fold a thing that hurt into a small hard shape and set it somewhere deep where it couldn't be got at.",
14,0:03:20.254,0:03:33.152,12.9,38,"Here is what I want you to understand about Clara Winslow, because it is the whole of her. She never once complained. Not to Rufus, not to the town, not to God on those cold steps on Sunday.",
15,0:03:33.152,0:03:44.352,11.2,33,"She got up in the dark and she worked till the dark came again, and she said thank you for the little she was given, and she never let them see it land.",
