scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:15.716,15.72,46,"They were building the gallows for Adeline Whitmore before the jury had said a single word. She could hear it from her cell — the ring of the hammers, the rasp of the saw, the men working in the square below her one small barred window.",
2,0:00:15.716,0:00:30.066,14.35,42,"She was on trial for her life inside the courthouse, the twelve men who would decide it still shut up in their room arguing, and out in the open street, in broad daylight, for the whole town of Copper Hollow to see,",
3,0:00:30.066,0:00:55.348,25.28,74,"Ambrose Sutter had already sent his men to build the thing that would hang her. That was how sure he was. That was how little the verdict mattered. Ambrose Sutter owned the bank and the mine and half the mortgages in the county, and Ambrose Sutter had lost his son, and Ambrose Sutter had promised the town of Copper Hollow that the woman who killed Clement would swing for it and in Copper Hollow,",
4,0:00:55.348,0:01:09.015,13.67,40,"what Ambrose Sutter promised, Ambrose Sutter got. So Adeline Whitmore sat in her cell and listened to her own gallows going up plank by plank, and she knew, with a cold and total certainty, that the trial was a show.",
5,0:01:09.015,0:01:30.881,21.87,64,"The rope was already measured. The only question left was how many hours she had. But there was a thing Ambrose Sutter did not know. There was a thing nobody in that courthouse knew, except one quiet man with a black bag who had washed the dead body himself and seen what was written on it a truth that could stop those hammers cold,",
6,0:01:30.881,0:01:42.155,11.27,33,"if only a frightened doctor could find the courage to stand up in a town owned by the man he'd have to call a liar. Stay with me by the fire tonight, friend.",
7,0:01:42.155,0:01:56.163,14.01,41,"This is the story of a woman the whole town had already hanged in its heart, the powerful man who wanted her dead before she could speak, and the terrible secret that a dead man's body was still trying to tell.",
8,0:01:56.163,0:02:15.979,19.82,58,"Some truths won't stay buried. Not even under a rich man's money. Copper Hollow had made up its mind about Adeline Whitmore the moment the news went around, and the news went around like fire in August: the Sutter boy was dead, and the Whitmore woman had done it, put a bullet in him in her own kitchen,",
9,0:02:15.979,0:02:37.845,21.87,64,"and Clement Sutter had been the finest young man in the county. That last part was the lie the whole tragedy grew out of. But it was a lie the town believed all the way to the bone, because Clement Sutter had been rich, and charming in front of a crowd, and the only son of the most powerful man for a hundred miles.",
10,0:02:37.845,0:02:52.536,14.69,43,"When a rich and charming man dies, the town writes him a hero's memory whether he earned one or not. Clement Sutter had not earned one. Clement Sutter, behind the doors his father's money kept closed, had been a brutal, drunken, dangerous man.",
11,0:02:52.536,0:03:03.811,11.27,33,"And Adeline Whitmore knew it better than anyone alive, because Adeline Whitmore was the widow he'd set his eye on, and would not take no from. But she couldn't prove any of that.",
12,0:03:03.811,0:03:16.794,12.98,38,"And the town didn't want to hear it. And so from the very first day, Adeline Whitmore stood accused not just of murder, but of the far worse crime, in Copper Hollow's eyes, of having harmed a Sutter.",
13,0:03:16.794,0:03:29.094,12.3,36,"Let me tell you who she really was. Adeline Whitmore was twenty-six, a widow two years over, who ran a small failing farm on the edge of Copper Hollow alone since the fever took her husband.",
14,0:03:29.094,0:03:44.468,15.37,45,"She was quiet, and proud, and she kept to herself, which a small town always reads as putting on airs. She'd asked for nothing from anybody. She'd worked her poor land with her own two hands and paid what she owed and troubled no one.",
15,0:03:44.468,0:04:04.284,19.82,58,"Her only sin, if you could call it that, was that she'd caught the eye of Clement Sutter. And a poor widow alone on the edge of town, with no husband, no brothers, no father, no man anywhere to stand between her and a rich man's son — that is a woman the world leaves terribly, terribly unprotected.",
16,0:04:04.284,0:04:14.534,10.25,30,"Clement Sutter had learned that a woman like Adeline could be visited, and troubled, and frightened, and that no one in Copper Hollow would lift a finger to stop him.",
17,0:04:14.534,0:04:30.933,16.4,48,"He'd been coming around her place for two months before that last night. And Adeline had gone to the sheriff once, early on, and the sheriff, who owed his job and his back wages to Ambrose Sutter, had told her to stop making trouble for a fine family.",
18,0:04:30.933,0:04:47.333,16.4,48,"So she was alone with it. Utterly alone. Right up until the night Clement Sutter kicked in her door. I will tell you what happened that night plainly, because the town of Copper Hollow would spend a great deal of effort making it into something it was not.",
19,0:04:47.333,0:04:57.924,10.59,31,"Clement Sutter came to Adeline Whitmore's farm drunk and angry on a cold night in November, and this time he did not come to frighten her. He kicked in her door.",
20,0:04:57.924,0:05:09.882,11.96,35,"And Adeline Whitmore, who had seen this coming for two months and was not a fool, had kept her dead husband's old revolver loaded on a high shelf by that door for exactly this night.",
21,0:05:09.882,0:05:21.157,11.27,33,"She warned him. She stood in her own kitchen with the gun in both shaking hands and she told him to get out, to go home, that she didn't want to hurt him.",
22,0:05:21.157,0:05:33.115,11.96,35,"And Clement Sutter, who had never once in his golden life been told no by anyone weaker than himself and made to mean it, laughed at her, and came across the kitchen at her anyway.",
23,0:05:33.115,0:05:47.123,14.01,41,"She fired one shot. One. And that was the end of Clement Sutter, and the beginning of everything that came after. Here is the thing that would matter, later, more than anything else, if only the truth could be got at.",
24,0:05:47.123,0:06:06.939,19.82,58,"When they found Clement's body, it was not the body of a man shot from across a room in cold blood. It was the body of a man shot at arm's length, close enough that the powder had burned his shirt — the shot of a woman firing as a man's hands were already coming down on her.",
25,0:06:06.939,0:06:18.897,11.96,35,"And on Adeline Whitmore's own throat and arms, when they arrested her, were the fresh dark marks of those hands. The bruises of a woman who had been grabbed. One man saw all of that.",
26,0:06:18.897,0:06:29.488,10.59,31,"One man wrote it down. His name was Dr. Nathaniel Ashford, and he was the man who examined Clement Sutter's body and treated the marks on Adeline Whitmore's throat, and Dr.",
27,0:06:29.488,0:06:40.421,10.93,32,"Nathaniel Ashford knew, from the first hour, that this was no murder. It was a woman who had defended her own life against a man twice her size in her own kitchen.",
28,0:06:40.421,0:06:58.187,17.77,52,"But Dr. Nathaniel Ashford also knew whose son the dead man was. And that knowledge sat in his chest like a stone, because a poor country doctor who owed money at the Sutter bank, in a town the Sutters owned, was about to have to choose between his conscience and his neck.",
29,0:06:58.187,0:07:08.437,10.25,30,"You must understand Ambrose Sutter to understand why a gallows went up before a verdict. He was not, at heart, an evil man. That is what made him so dangerous.",
30,0:07:08.437,0:07:23.470,15.03,44,"He was a proud man, a powerful man, a man who had built an empire out of the raw dirt of the territory with his own ruthless hands, and he had loved exactly one thing in all the world, and that was his son.",
31,0:07:23.470,0:07:36.453,12.98,38,"And now his son was dead in a widow's kitchen, and Ambrose Sutter's grief had turned, the way a proud man's grief so often does, into a black and total rage that could only be quenched one way.",
32,0:07:36.453,0:07:53.194,16.74,49,"He would not, could not, hear a single word against Clement. To Ambrose, his boy was a murdered saint, and Adeline Whitmore was a scheming murderess who had lured and killed him, and any man who suggested otherwise was calling Ambrose Sutter's dead son a monster to his face.",
33,0:07:53.194,0:08:05.152,11.96,35,"And Ambrose Sutter had the money and the power to make the whole town of Copper Hollow agree with him. He paid for the prosecutor. He picked the judge, an old friend who owed him.",
34,0:08:05.152,0:08:17.110,11.96,35,"He let it be quietly known that a man who spoke up for the Whitmore woman was a man who might find his mortgage called, his credit gone, his family run out of the county.",
35,0:08:17.110,0:08:27.360,10.25,30,"And he sent his men to build that gallows in the square while the trial was still going on, as a message to the whole town: this is already decided.",
36,0:08:27.360,0:08:40.001,12.64,37,"Don't make me remember who stood on the wrong side. The trial was a formality, and everyone knew it. Adeline Whitmore had a court-appointed lawyer who was terrified of Ambrose Sutter and barely spoke above a whisper.",
37,0:08:40.001,0:08:51.276,11.27,33,"The prosecutor painted her as a jealous, grasping temptress. Witness after witness, all of them dependent one way or another on Sutter money, testified to what a fine young man Clement had been.",
38,0:08:51.276,0:09:02.209,10.93,32,"And Adeline sat there, bruises fading on her throat, and listened to a whole town build the lie that would kill her. She had given up. You could see it in her.",
39,0:09:02.209,0:09:22.366,20.16,59,"She had decided she was going to hang for the crime of having survived, and she had made a kind of terrible peace with it. Until one afternoon, in the middle of that sham of a trial, a quiet neighbor woman named Opal Marsh did a thing that took more courage than anyone in Copper Hollow knew she had.",
40,0:09:22.366,0:09:41.157,18.79,55,"Opal Marsh was Adeline's nearest neighbor, a work-worn farm wife with a houseful of children and a husband who owed the Sutter bank like everyone else. She was nobody. She had every reason in the world to keep her head down and her mouth shut, the way the whole town was keeping its head down.",
41,0:09:41.157,0:09:53.799,12.64,37,"But Opal Marsh had seen things, over those two months. She'd seen Clement Sutter's horse tied outside Adeline's place after dark, more than once. She'd heard, one night, a woman's voice raised in fear across the field.",
42,0:09:53.799,0:10:09.173,15.37,45,"And Opal Marsh had a conscience that would not let her sleep, and one afternoon she stood up in that courtroom during the time for testimony, uninvited, her voice shaking, and she said, ""That man was going out to her place at night for months,",
43,0:10:09.173,0:10:22.156,12.98,38,"and she never asked him there, and I heard her cry out, and this whole town knows what kind of man he really was and not one of you will say it —"" She didn't get to finish.",
44,0:10:22.156,0:10:37.189,15.03,44,"The judge gaveled her down, and the prosecutor called her a hysterical woman, and Ambrose Sutter turned in his seat and looked at Opal Marsh with a face like winter, and Opal Marsh's husband took her arm and pulled her, weeping, from the courtroom.",
45,0:10:37.189,0:10:48.464,11.27,33,"By the next morning the Marsh family's note had been called at the bank. That was the price of those few sentences, and Ambrose Sutter made sure the whole town saw it paid.",
46,0:10:48.464,0:11:05.547,17.08,50,"But something had cracked. A single voice had said the unsayable in that courtroom — that Clement Sutter was not what the town was pretending. And that crack reached one man who had been sitting in the back of the courtroom every single day, saying nothing, sick to his soul.",
47,0:11:05.547,0:11:27.754,22.21,65,"Dr. Nathaniel Ashford had come to watch the trial the way a man watches a thing he is ashamed of but cannot look away from. He had the truth in his medical bag — his own written examination of the body and the bruises, the plain physical proof that Adeline Whitmore had been attacked and had fired in defense of her life at arm's length.",
48,0:11:27.754,0:11:39.712,11.96,35,"He had it, and he had said nothing, because he was afraid. Afraid of Ambrose Sutter, afraid for his practice, afraid of the ruin that had just fallen on Opal Marsh in front of everyone.",
