scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:13.779,13.78,41,"On the morning of the biggest dance Pine Hollow had seen in ten years, Nell Ainsley was on her knees in the barn, mucking out the stalls, because her aunt had ordered her kept out of sight until it was over.",
2,0:00:13.779,0:00:25.542,11.76,35,"""Keep her in the barn till it's done,"" Augusta Bracken had said the night before, not troubling to lower her voice, as though the girl scrubbing her floors could not hear or did not count.",
3,0:00:25.542,0:00:46.715,21.17,63,"""I'll not have her hanging about the yard with her sad face while decent folk are here to see Lavinia. Give her enough to do that she can't finish, and see she stays out back."" And so while the whole Bracken house filled with ribbon and cake and the fine folk of the county came in their carriages to court her pretty cousin,",
4,0:00:46.715,0:00:56.797,10.08,30,"Nell Ainsley hauled manure in the dark of the barn in a dress two sizes too small, hidden away like a thing the family was ashamed of. She was seventeen.",
5,0:00:56.797,0:01:11.920,15.12,45,"She had lived in that house for six years, ever since the fever took her mother and father, and in all six years she had been worked from dark to dark and thanked for none of it and paraded before no one, because Nell Ainsley,",
6,0:01:11.920,0:01:28.724,16.8,50,"plain and quiet and always in a hand-me-down, was the family secret kept small, kept hidden, kept down. What Nell did not know, that morning in the barn — what her aunt and uncle had spent six years making very sure she would never find out — was that everything.",
7,0:01:28.724,0:01:42.503,13.78,41,"The house. The good bottomland it sat on. The money that bought Lavinia's ribbons and the fine carriages in the yard. All of it, every acre and every dollar, belonged by rights to the girl on her knees in the stalls.",
8,0:01:42.503,0:01:52.585,10.08,30,"And the truth of that was about to come riding up the road to Pine Hollow, and it was going to burn the Brackens' whole comfortable lie to the ground.",
9,0:01:52.585,0:02:07.709,15.12,45,"Stay a while by our fire tonight, friend. This is the story of a girl they hid in a barn so no one would ever see her worth — and the quiet rancher who wandered out back looking for his horse, and found her instead.",
10,0:02:07.709,0:02:27.201,19.49,58,"To understand Nell Ainsley, you have to understand what was taken from her, and how quietly it was done. Her father had been a good man named Ainsley who came to the Pine Hollow country early and worked like a mule and picked, with a sharp eye, the best piece of bottomland in the valley flat, black, well-watered,",
11,0:02:27.201,0:02:47.030,19.83,59,"the kind of ground that makes a family's fortune over a generation. He built a fine house on it and married a gentle woman and they had one daughter, Nell, and for the first eleven years of her life she was the cherished only child of a prospering family, loved and taught and never once made to feel small.",
12,0:02:47.030,0:02:59.128,12.1,36,"She could read and cipher and play a little on the parlor organ. She remembered that life the way you remember a warm room from out in the cold — clearly, and from very far away.",
13,0:02:59.128,0:03:12.235,13.11,39,"Then the fever came through Pine Hollow the summer she was eleven, and it took her mother in June and her father in July, and it left Nell Ainsley an orphan and an heiress in the same cruel week.",
14,0:03:12.235,0:03:27.359,15.12,45,"The good house was hers. The black bottomland was hers. The money in the Pine Hollow bank was hers. She was, at eleven years old, one of the wealthiest children in the valley — and far too young to know it, or to protect it.",
15,0:03:27.359,0:03:43.827,16.47,49,"Which is exactly the moment her aunt and uncle arrived. Horace and Augusta Bracken were her mother's people, poor relations from two counties over, and they came to Pine Hollow wearing black and long faces, full of grief for the dead and Christian duty toward the poor orphaned child.",
16,0:03:43.827,0:03:57.606,13.78,41,"They would take her in, they said. They would raise her as their own, alongside their own little daughter Lavinia. They would manage the property, of course — a child could not manage a farm — until Nell came of age.",
17,0:03:57.606,0:04:10.377,12.77,38,"The town of Pine Hollow thought it a fine and generous thing, and the judge, seeing kin willing to take the orphan and no other claim, made Horace Bracken the girl's guardian and the manager of her estate,",
18,0:04:10.377,0:04:23.484,13.11,39,"and everyone agreed it had all worked out for the best. And then the Brackens moved into the fine house on the black bottomland, and they never left, and they began, slowly and carefully, to make Nell Ainsley disappear.",
19,0:04:23.484,0:04:37.263,13.78,41,"Nell remembered the first year after, dimly, as a confusing slide from one life into another. There was a while when Aunt Augusta still called her ""poor lamb"" in front of company and only pinched her when the company had gone.",
20,0:04:37.263,0:04:50.034,12.77,38,"There was the day her father's good books were packed into a crate and sold, and Nell, who had learned to read on her father's knee, was told they were only gathering dust and the money was needed.",
21,0:04:50.034,0:05:05.157,15.12,45,"There was the birthday her twelfth, the first after the fever that came and went with not one soul in that house saying a word, while a month later Lavinia's birthday filled the parlor with cake and gifts bought, though Nell did not know it,",
22,0:05:05.157,0:05:26.330,21.17,63,"with Nell's own money. A child learns her place quickly when every day teaches the same lesson. By the end of that first year Nell had stopped expecting to be a daughter of the house, and had begun, without quite deciding to, to think of herself the way the Brackens had decided she should think of herself: as a charity case, a burden,",
23,0:05:26.330,0:05:37.420,11.09,33,"a girl who owed and could never repay. It was not done all at once. Cruelty that means to last is patient. At first they were only a little cold, a little neglectful.",
24,0:05:37.420,0:05:52.544,15.12,45,"Then Nell's lessons stopped — no sense wasting money on a tutor, Augusta said, when the girl would only marry. Then her good dresses were handed down to Lavinia, who was a year younger and needed them more, and Nell was put in the cast-offs.",
25,0:05:52.544,0:06:06.995,14.45,43,"Then there was work a little at first, to build character, Augusta said, and then more, and then all of it, until by the time Nell was fourteen she was doing the labor of a hired girl in a house full of servants,",
